date,747-27,P,T,ET,NDVI
1467072000,213.12,1.753204918,46.925,40.5,0.225
1469664000,212.88,1.315178826,47.155,31.25,0.22555
1472342400,212.83,1.028850876,48.145,26.25,0.2444
1475020800,212.76,2.077369373,44.375,32.5,0.23085
1477612800,212.73,16.58676217,37.817,38.5,0.2746
1480291200,212.65,102.3507249,28.523,47.5,0.2482
1482883200,212.92,69.26319337,20.855,65.0,0.58475
1485561600,212.95,33.77994284,17.65,145.75,0.82695
1488240000,213.06,118.6118639,20.577,307.0,0.88745
1490659200,213.22,39.25372365,26.03,277.75,0.67165
1493337600,213.19,6.341994703,34.41,91.0,0.31555
1495929600,212.56,5.150055371,38.78,50.0,0.2184
1498608000,212.44,2.801567797,47.425,31.5,0.19715
1501200000,212.47,0.180384577,47.085,32.0,0.20795
1503878400,212.36,0.511153978,45.66,25.25,0.2243
1506556800,212.2,2.016864773,43.343,31.0,0.2642
1509148800,212.18,10.08379304,41.283,22.667,0.2414
1511827200,212.04,25.80417842,33.75,26.667,0.27385
1514419200,212.11,68.94879234,23.09,26.5,0.4038
1517097600,212.35,91.03659278,19.56,62.667,0.60955
1519776000,212.56,106.4718211,20.205,163.0,0.7801
1522195200,212.71,111.469927,22.205,281.0,0.81605
1524873600,212.8,54.74760354,24.45,229.0,0.62155
1527465600,212.73,10.22281522,32.54,119.5,0.2793
1530144000,212.38,0.835392946,40.795,70.333,0.23585
1532736000,212.04,0.140328163,43.23,36.75,0.18835
1535414400,211.98,2.105821509,47.215,34.0,0.2296
1538092800,211.9,24.0167436,43.883,37.667,0.2431
1540684800,211.88,90.3198806,36.917,54.0,0.3205
1543363200,212.21,101.2823796,23.125,70.0,0.46095
1545955200,212.24,11.06499776,25.395,53.25,0.58285
1548633600,212.17,15.4141067,23.105,64.0,0.618
1551312000,212.04,27.06001282,29.36,67.3335,0.5912
1553731200,211.85,24.19297582,33.385,70.667,0.42205
1556409600,211.99,19.68449861,38.79,77.667,0.33645
1559001600,211.8,4.345088705,46.76,36.0,0.2503
1561680000,211.64,0.527165907,47.875,50.5,0.22995
1564272000,211.53,0.654663356,46.32,46.75,0.22535
1566950400,211.45,1.23954895,47.185,33.0,0.24195
1569628800,211.41,2.452135328,44.57,34.0,0.2386
1572220800,211.41,28.35919967,40.617,35.333,0.3128
1574899200,211.39,25.67702293,30.135,48.5,0.2792
1577491200,211.63,64.21001083,24.54,62.667,0.5962
1580169600,211.52,21.89132059,25.355,85.5,0.7188
1582848000,211.4,1.711814459,33.43,83.0,0.58455
1585353600,211.29,15.27984408,38.205,64.5,0.3049
1588032000,211.22,18.15562069,38.59,55.5,0.23835
1590624000,211.04,42.81765595,46.657,49.667,0.26665
1593302400,210.9,2.226795098,45.415,44.0,0.24925
1595894400,210.8,0.988598797,48.42,25.75,0.2492
1598572800,210.64,0.374412796,47.11,32.75,0.2117
